Name,Team,Position,Rank,ADP,ADP Differential,Week 17,Week 16,Week 15,Division,Exposure
Ezekiel Elliott,DAL,RB,133,137.7,4.7,PHI,TB,CAR,NFC EAST,8.0
Zach Charbonnet,SEA,RB,134,153.4,19.4,CHI,MIN,GB,NFC WEST,0.0
Chuba Hubbard,CAR,RB,135,133.8,-1.2,TB,ARI,DAL,NFC SOUTH,0.0
Dalton Schultz,HOU,TE,136,121.1,-14.9,BAL,KC,MIA,AFC SOUTH,16.0
Adam Thielen,CAR,WR,137,143.5,6.5,TB,ARI,DAL,NFC SOUTH,4.0
Deshaun Watson,CLE,QB,138,155.3,17.3,MIA,CIN,KC,AFC NORTH,4.0
Aaron Rodgers,NYJ,QB,139,146.6,7.6,BUF,LAR,JAX,AFC EAST,8.0
Baker Mayfield,TB,QB,140,145.2,5.2,CAR,DAL,LAC,NFC SOUTH,0.0
Matthew Stafford,LAR,QB,141,133.0,-8.0,ARI,NYJ,SF,NFC WEST,8.0
Samaje Perine,KC,RB,142,193.6,51.6,PIT,HOU,CLE,AFC WEST,24.0
Jaleel McLaughlin,DEN,RB,143,146.0,3.0,CIN,LAC,IND,AFC WEST,8.0
Taysom Hill,NO,TE,144,122.4,-21.6,LV,GB,WAS,NFC SOUTH,12.0
Ja'Lynn Polk,NE,WR,145,145.4,0.4,LAC,BUF,ARI,AFC EAST,0.0
Ty Chandler,MIN,RB,146,144.0,-2.0,GB,SEA,CHI,NFC NORTH,16.0
Pat Freiermuth,PIT,TE,147,137.7,-9.3,KC,BAL,PHI,AFC NORTH,0.0
Josh Downs,IND,WR,148,158.7,10.7,NYG,TEN,DEN,AFC SOUTH,24.0
Antonio Gibson,NE,RB,149,172.7,23.7,LAC,BUF,ARI,AFC EAST,16.0
Nick Chubb,CLE,RB,150,126.3,-23.7,MIA,CIN,KC,AFC NORTH,0.0
Adonai Mitchell,IND,WR,151,133.3,-17.7,NYG,TEN,DEN,AFC SOUTH,8.0
Tyler Allgeier,ATL,RB,152,148.8,-3.2,WAS,NYG,LV,NFC SOUTH,12.0
Geno Smith,SEA,QB,153,158.6,5.6,CHI,MIN,GB,NFC WEST,20.0
Cole Kmet,CHI,TE,154,141.8,-12.2,SEA,DET,MIN,NFC NORTH,8.0
Jordan Mason,SF,RB,155,157.0,2.0,DET,MIA,LAR,NFC WEST,0.0
Wan'Dale Robinson,NYG,WR,156,177.7,21.7,IND,ATL,BAL,NFC EAST,12.0
T.J. Hockenson,MIN,TE,157,146.7,-10.3,GB,SEA,CHI,NFC NORTH,8.0
Bucky Irving,TB,RB,158,159.6,1.6,CAR,DAL,LAC,NFC SOUTH,12.0
Sam Darnold,MIN,QB,159,176.3,17.3,GB,SEA,CHI,NFC NORTH,0.0
Michael Wilson,ARI,WR,160,152.2,-7.8,LAR,CAR,NE,NFC WEST,16.0
Ray Davis,BUF,RB,161,164.1,3.1,NYJ,NE,DET,AFC EAST,16.0
Luke Musgrave,GB,TE,162,156.5,-5.5,MIN,NO,SEA,NFC NORTH,0.0
J.K. Dobbins,LAC,RB,163,138.1,-24.9,NE,DEN,TB,AFC WEST,0.0
Demario Douglas,NE,WR,164,174.6,10.6,LAC,BUF,ARI,AFC EAST,0.0
Derek Carr,NO,QB,165,182.8,17.8,LV,GB,WAS,NFC SOUTH,16.0
Khalil Herbert,CHI,RB,166,170.7,4.7,SEA,DET,MIN,NFC NORTH,12.0
Greg Dortch,ARI,WR,167,180.9,13.9,LAR,CAR,NE,NFC WEST,4.0
Xavier Legette,CAR,WR,168,161.0,-7.0,TB,ARI,DAL,NFC SOUTH,8.0
Rashod Bateman,BAL,WR,169,171.3,2.3,HOU,PIT,NYG,AFC NORTH,0.0
Kimani Vidal,LAC,RB,170,180.0,10.0,NE,DEN,TB,AFC WEST,12.0
Jaylen Wright,MIA,RB,171,151.4,-19.6,CLE,SF,HOU,AFC EAST,0.0
Will Levis,TEN,QB,172,164.0,-8.0,JAX,IND,CIN,AFC SOUTH,4.0
Noah Fant,SEA,TE,173,189.4,16.4,CHI,MIN,GB,NFC WEST,16.0
Braelon Allen,NYJ,RB,174,169.4,-4.6,BUF,LAR,JAX,AFC EAST,4.0
Jalen Tolbert,DAL,WR,175,167.6,-7.4,PHI,TB,CAR,NFC EAST,0.0
Demarcus Robinson,LAR,WR,176,181.4,5.4,ARI,NYJ,SF,NFC WEST,4.0
Jalen McMillan,TB,WR,177,183.5,6.5,CAR,DAL,LAC,NFC SOUTH,8.0
Jahan Dotson,PHI,WR,178,164.8,-13.2,DAL,WAS,PIT,NFC EAST,4.0
Marshawn Lloyd,GB,RB,179,177.1,-1.9,MIN,NO,SEA,NFC NORTH,0.0
Tyler Conklin,NYJ,TE,180,170.5,-9.5,BUF,LAR,JAX,AFC EAST,0.0
Tank Bigsby,JAX,RB,181,192.9,11.9,TEN,LV,NYJ,AFC SOUTH,16.0
Cade Otton,TB,TE,182,158.0,-24.0,CAR,DAL,LAC,NFC SOUTH,8.0
Drake Maye,NE,QB,183,198.0,15.0,LAC,BUF,ARI,AFC EAST,0.0
Juwan Johnson,NO,TE,184,196.5,12.5,LV,GB,WAS,NFC SOUTH,8.0
Hunter Henry,NE,TE,185,187.0,2.0,LAC,BUF,ARI,AFC EAST,0.0
Jermaine Burton,CIN,WR,186,192.0,6.0,DEN,CLE,TEN,AFC NORTH,16.0
Justin Fields,PIT,QB,187,199.6,12.6,KC,BAL,PHI,AFC NORTH,0.0
Isaiah Likely,BAL,TE,188,164.8,-23.2,HOU,PIT,NYG,AFC NORTH,4.0
Ben Sinnott,WAS,TE,189,179.8,-9.2,ATL,PHI,NO,NFC EAST,8.0
Darius Slayton,NYG,WR,190,200.6,10.6,IND,ATL,BAL,NFC EAST,0.0
Josh Reynolds,DEN,WR,191,222.2,31.2,CIN,LAC,IND,AFC WEST,0.0
Noah Brown,WAS,WR,192,220.2,28.2,ATL,PHI,NO,NFC EAST,0.0
Tyler Boyd,TEN,WR,193,193.1,0.1,JAX,IND,CIN,AFC SOUTH,0.0
Andrei Iosivas,CIN,WR,194,204.2,10.2,DEN,CLE,TEN,AFC NORTH,0.0
Malachi Corley,NYJ,WR,195,217.5,22.5,BUF,LAR,JAX,AFC EAST,12.0
Jalin Hyatt,NYG,WR,196,225.4,29.4,IND,ATL,BAL,NFC EAST,4.0
Chigoziem Okonkwo,TEN,TE,197,203.4,6.4,JAX,IND,CIN,AFC SOUTH,0.0
Jonnu Smith,MIA,TE,198,182.6,-15.4,CLE,SF,HOU,AFC EAST,0.0
Colby Parkinson,LAR,TE,199,207.9,8.9,ARI,NYJ,SF,NFC WEST,0.0
Audric Estime,DEN,RB,200,214.3,14.3,CIN,LAC,IND,AFC WEST,8.0
Roschon Johnson,CHI,RB,201,213.5,12.5,SEA,DET,MIN,NFC NORTH,20.0
Bryce Young,CAR,QB,202,183.2,-18.8,TB,ARI,DAL,NFC SOUTH,12.0
Bo Nix,DEN,QB,203,169.7,-33.3,CIN,LAC,IND,AFC WEST,8.0
